book_name,page_number,release_date,author
"Responsive Web Design with HTML5 and CSS3, Second Edition",312 Pages,Aug 2015,By Ben Frain
Extreme C,822 Pages,Oct 2019,By Kamran Amini
Mastering Kubernetes - Second Edition,468 Pages,Apr 2018,By Gigi Sayfan
Learn Kali Linux 2019,550 Pages,Nov 2019,"By Joshua Crumbaugh
                                                                                                                                    and 1
                                                                    more"
AI Crash Course,360 Pages,Nov 2019,By Hadelin de Ponteves
Learn Power BI,362 Pages,Sep 2019,By Greg Deckler
Learn Python Programming - Second Edition,508 Pages,Jun 2018,By Romano
Blockchain By Example,528 Pages,Nov 2018,"By Badr
                                                                                                                                    and 2
                                                                    more"
Docker Cookbook - Second Edition,352 Pages,Aug 2018,"By Cochrane
                                                                                                                                    and 2
                                                                    more"
Linux Kernel Programming Part 2 - Char Device Drivers and Kernel Synchronization,452 Pages,Mar 2021,By Kaiwan N. Billimoria
Learn Ethical Hacking from Scratch,564 Pages,Jul 2018,By Sabih
Clean Code in Python,332 Pages,Aug 2018,By Anaya
Learn Ethereum,540 Pages,Sep 2019,"By Xun (Brian) Wu
                                                                                                                                    and 2
                                                                    more"
Learning DevOps,504 Pages,Oct 2019,By Mikael Krief
The Java Workshop,606 Pages,Oct 2019,"By David Cuartielles
                                                                                                                                    and 2
                                                                    more"
Django 3 Web Development Cookbook - Fourth Edition,,Mar 2020,"By Aidas Bendoraitis
                                                                                                                                    and 1
                                                                    more"
The C++ Workshop,,Feb 2020,"By Dale Green
                                                                                                                                    and 2
                                                                    more"
Learn SwiftUI,316 Pages,Apr 2020,By Chris Barker
The Data Science Workshop - Second Edition,824 Pages,Aug 2020,"By Anthony So
                                                                                                                                    and 4
                                                                    more"
Mastering QuickBooks 2020,332 Pages,Dec 2019,By Crystalynn Shelton
Unity 2020 By Example - Third Edition,676 Pages,Sep 2020,By Robert Wells
The Kubernetes Workshop,780 Pages,Sep 2020,"By Zachary Arnold
                                                                                                                                    and 5
                                                                    more"
Mastering Windows Server 2019 - Second Edition,524 Pages,Mar 2019,By Jordan Krause
Hands-On Microservices with Spring Boot and Spring Cloud,668 Pages,Sep 2019,By Magnus Larsson AB
Learn SOLIDWORKS 2020,586 Pages,Dec 2019,By Tayseer Almattar
Mastering GitLab 12,608 Pages,Aug 2019,By Evertse
Programming Microsoft Dynamics 365 Business Central - Sixth Edition,536 Pages,Apr 2019,"By Marije Brummel
                                                                                                                                    and 2
                                                                    more"
Mastering TypeScript 3 - Third Edition,694 Pages,Feb 2019,By Nathan Rozentals
Mastering Kotlin,434 Pages,Oct 2019,By Nate Ebel
Mastering Microsoft Power BI,,Mar 2018,By Powell
The Go Workshop,,Dec 2019,"By Delio D'Anna
                                                                                                                                    and 5
                                                                    more"
